edad,qx,aa2021,aa2022,aa2023,aa2024,aa2025,aa2026,aa2027,aa2028,aa2029,aa2030,aa2031,aa2032,aa2033,aa2034,aa2035,aa2036
35,0.00587955,0.010127,0.01011,0.010093,0.010078,0.010065,0.010053,0.010042,0.010033,0.010025,0.010018,0.010012,0.010008,0.010004,0.010002,0.01,0.01
36,0.00614532,0.010157,0.010137,0.010118,0.0101,0.010084,0.010069,0.010056,0.010044,0.010034,0.010025,0.010017,0.010011,0.010006,0.010003,0.010001,0.01
37,0.00640596,0.010242,0.010215,0.010189,0.010165,0.010141,0.010119,0.010098,0.010079,0.010062,0.010046,0.010033,0.010021,0.010012,0.010005,0.010001,0.01
38,0.00666234,0.010396,0.010358,0.01032,0.010283,0.010246,0.01021,0.010175,0.010143,0.010113,0.010085,0.010061,0.01004,0.010023,0.010011,0.010003,0.01
39,0.00691595,0.010632,0.010577,0.010521,0.010463,0.010406,0.010349,0.010294,0.010241,0.010191,0.010145,0.010104,0.010069,0.01004,0.010018,0.010005,0.01
40,0.00716907,0.010951,0.010873,0.010792,0.010708,0.010623,0.010538,0.010454,0.010374,0.010297,0.010227,0.010163,0.010108,0.010063,0.010029,0.010007,0.01
41,0.00742494,0.011347,0.011242,0.011129,0.011012,0.010893,0.010773,0.010654,0.010539,0.01043,0.010328,0.010237,0.010157,0.010091,0.010042,0.010011,0.01
42,0.0076875,0.011808,0.01167,0.011522,0.011367,0.011208,0.011046,0.010887,0.010732,0.010584,0.010447,0.010322,0.010214,0.010125,0.010057,0.010015,0.01
43,0.00796108,0.012321,0.012147,0.011959,0.011761,0.011557,0.011351,0.011146,0.010946000000000001,0.010756,0.010578,0.010418,0.010277,0.010162,0.010074,0.010019,0.01
44,0.00825007,0.01287,0.012657,0.012427,0.012184,0.011932,0.011677,0.011424,0.011176,0.01094,0.01072,0.01052,0.010346,0.010202,0.010093,0.010024,0.01
45,0.00855865,0.013443,0.013191,0.012916,0.012625,0.012324,0.012018,0.011714,0.011417,0.011132,0.010867,0.010627,0.010417,0.010243,0.010112,0.010029,0.01
46,0.00889043,0.014034,0.01374,0.01342,0.01308,0.012728,0.01237,0.012013,0.011664,0.011331,0.011019,0.010737,0.01049,0.010286,0.010132,0.010034,0.01
47,0.00924853,0.014638,0.014303,0.013936,0.013546,0.013142,0.01273,0.01232,0.011918,0.011534,0.011175,0.01085,0.010565,0.01033,0.010152,0.010039,0.01
48,0.00963574,0.015255,0.014877,0.014463,0.014022,0.013564,0.013098,0.012633,0.012178,0.011742,0.011335,0.010965,0.010642,0.010375,0.010173,0.010045,0.01
49,0.01005472,0.015882,0.015459,0.014997,0.014505,0.013993,0.013471,0.01295,0.012441,0.011953,0.011496,0.011082,0.01072,0.01042,0.010194,0.01005,0.01
50,0.01050802,0.016512,0.016046,0.015535,0.014991,0.014424,0.013847,0.01327,0.012706,0.012165,0.011659,0.0112,0.010798,0.010466,0.010215,0.010056,0.01
51,0.01099794,0.01714,0.016631,0.016072,0.015475,0.014855,0.014222,0.013589,0.01297,0.012377,0.011822,0.011317,0.010877,0.010512,0.010236,0.010061,0.01
52,0.01152633,0.017755,0.017203,0.016597,0.01595,0.015276,0.014588,0.013901,0.013229,0.012584,0.011981,0.011432,0.010953,0.010557,0.010257,0.010066,0.01
53,0.01209411,0.018339,0.017747,0.017095,0.0164,0.015676,0.014937,0.014198,0.013474,0.012781,0.012131,0.011542,0.011026,0.010599,0.010276,0.010072,0.01
54,0.01270083,0.018871,0.018242,0.017549,0.01681,0.01604,0.015254,0.014468,0.013698,0.01296,0.012269,0.011641,0.011092,0.010638,0.010294,0.010076,0.01
55,0.01334418,0.01933,0.018669,0.017941,0.017164,0.016354,0.015527,0.014701,0.013891,0.013114,0.012387,0.011727,0.011149,0.010671,0.010309,0.01008,0.01
56,0.01401963,0.019702,0.019014,0.018258,0.017451,0.016608,0.015749,0.014889,0.014047,0.013239,0.012483,0.011796,0.011196,0.010698,0.010322,0.010083,0.01
57,0.01472064,0.019979,0.019272,0.018495,0.017664,0.016798,0.015914,0.01503,0.014164,0.013333,0.012555,0.011848,0.01123,0.010719,0.010331,0.010086,0.01
58,0.01543935,0.02016,0.019441,0.018649,0.017804,0.016922,0.016022,0.015122,0.01424,0.013394,0.012602,0.011882,0.011253,0.010732,0.010337,0.010087,0.01
59,0.01616775,0.020245,0.01952,0.018722,0.01787,0.016981,0.016073,0.015165,0.014276,0.013422,0.012624,0.011898,0.011263,0.010738,0.01034,0.010088,0.01
60,0.0168987,0.020241,0.019517,0.018719,0.017867,0.016978,0.016071,0.015163,0.014274,0.013421,0.012623,0.011897,0.011263,0.010738,0.01034,0.010088,0.01
61,0.01762726,0.020159,0.019441,0.018649,0.017804,0.016922,0.016022,0.015122,0.01424,0.013394,0.012602,0.011882,0.011253,0.010732,0.010337,0.010087,0.01
62,0.01835148,0.020021,0.019312,0.018531,0.017697,0.016827,0.015939,0.015051,0.014181,0.013347,0.012566,0.011856,0.011235,0.010722,0.010333,0.010086,0.01
63,0.01907373,0.019853,0.019155,0.018387,0.017567,0.016711,0.015838,0.014965,0.01411,0.01329,0.012522,0.011824,0.011214,0.010709,0.010327,0.010085,0.01
64,0.01980141,0.019683,0.018996,0.018242,0.017435,0.016594,0.015737,0.014879,0.014038,0.013232,0.012478,0.011792,0.011193,0.010697,0.010321,0.010083,0.01
65,0.02054718,0.019534,0.018858,0.018115,0.01732,0.016492,0.015648,0.014803,0.013976,0.013182,0.012439,0.011764,0.011174,0.010686,0.010316,0.010082,0.01
66,0.02132889,0.019422,0.018753,0.018018,0.017233,0.016415,0.01558,0.014745,0.013928,0.013144,0.01241,0.011743,0.01116,0.010678,0.010312,0.010081,0.01
67,0.0221685,0.019348,0.018684,0.017955,0.017176,0.016364,0.015535,0.014707,0.013896,0.013118,0.01239,0.011729,0.011151,0.010672,0.01031,0.01008,0.01
68,0.02309064,0.019308,0.018647,0.01792,0.017144,0.016336,0.015511,0.014686,0.013879,0.013104,0.01238,0.011721,0.011146,0.010669,0.010308,0.01008,0.01
69,0.02412095,0.019292,0.018632,0.017907,0.017132,0.016325,0.015501,0.014678,0.013872,0.013099,0.012375,0.011718,0.011143,0.010668,0.010308,0.01008,0.01
70,0.02528467,0.019294,0.018633,0.017907,0.017132,0.016325,0.015501,0.014678,0.013872,0.013099,0.012375,0.011718,0.011143,0.010668,0.010308,0.01008,0.01
71,0.02660582,0.019305,0.018644,0.017917,0.017141,0.016332,0.015508,0.014684,0.013876,0.013102,0.012378,0.01172,0.011145,0.010669,0.010308,0.01008,0.01
72,0.02810666,0.01932,0.018658,0.017929,0.017152,0.016342,0.015516,0.014691,0.013882,0.013107,0.012382,0.011723,0.011146,0.01067,0.010309,0.01008,0.01
73,0.02980829,0.019331,0.018667,0.017938,0.01716,0.01635,0.015523,0.014696,0.013887,0.013111,0.012384,0.011725,0.011148,0.01067,0.010309,0.01008,0.01
74,0.03173082,0.019325,0.018662,0.017934,0.017156,0.016346,0.015519,0.014693,0.013884,0.013109,0.012383,0.011724,0.011147,0.01067,0.010309,0.01008,0.01
75,0.0338941,0.019286,0.018626,0.017901,0.017126,0.016319,0.015496,0.014674,0.013868,0.013096,0.012373,0.011716,0.011142,0.010667,0.010307,0.01008,0.01
76,0.03631794,0.019196,0.018542,0.017824,0.017057,0.016258,0.015443,0.014629,0.013831,0.013066,0.01235,0.0117,0.011131,0.010661,0.010305,0.010079,0.01
77,0.03902207,0.019037,0.018395,0.017689,0.016935,0.01615,0.015349,0.014549,0.013765,0.013013,0.01231,0.011671,0.011112,0.010649,0.010299,0.010077,0.01
78,0.04202594,0.018799,0.018174,0.017486,0.016753,0.015988,0.015208,0.014429,0.013666,0.012934,0.012249,0.011626,0.011082,0.010632,0.010291,0.010075,0.01
79,0.04534801,0.018478,0.017875,0.017213,0.016506,0.015769,0.015018,0.014267,0.013532,0.012826,0.012167,0.011567,0.011043,0.010609,0.010281,0.010073,0.01
80,0.04900583,0.018078,0.017504,0.016872,0.016199,0.015497,0.014781,0.014065,0.013365,0.012693,0.012064,0.011493,0.010994,0.01058,0.010267,0.010069,0.01
81,0.05301575,0.017609,0.017068,0.016473,0.015839,0.015177,0.014503,0.013829,0.013169,0.012536,0.011944,0.011406,0.010936,0.010547,0.010252,0.010065,0.01
82,0.05739254,0.017088,0.016583,0.016029,0.015438,0.014822,0.014194,0.013566,0.012951,0.012362,0.011811,0.01131,0.010872,0.010509,0.010235,0.010061,0.01
83,0.06214977,0.016532,0.016067,0.015557,0.015012,0.014444,0.013865,0.013286,0.01272,0.012177,0.011668,0.011207,0.010803,0.010469,0.010216,0.010056,0.01
84,0.06729943,0.015963,0.015539,0.015072,0.014575,0.014056,0.013528,0.013,0.012482,0.011987,0.011523,0.011101,0.010733,0.010428,0.010197,0.010051,0.01
85,0.07285294,0.015397,0.015012,0.01459,0.01414,0.01367,0.013192,0.012714,0.012246,0.011797,0.011378,0.010996,0.010663,0.010387,0.010178,0.010046,0.01
86,0.07882259,0.014844,0.014499,0.01412,0.013716,0.013294,0.012865,0.012436,0.012016,0.011613,0.011236,0.010894,0.010595,0.010348,0.01016,0.010041,0.01
87,0.08522198,0.01431,0.014003,0.013665,0.013305,0.01293,0.012548,0.012167,0.011793,0.011435,0.0111,0.010795,0.010529,0.010309,0.010142,0.010037,0.01
88,0.09233582,0.013791,0.01352,0.013223,0.012907,0.012577,0.012241,0.011905,0.011577,0.011262,0.010967,0.010699,0.010465,0.010272,0.010125,0.010032,0.01
89,0.1005976,0.013281,0.013047,0.012789,0.012515,0.01223,0.011939,0.011649,0.011364,0.011092,0.010837,0.010605,0.010403,0.010235,0.010108,0.010028,0.01
