edad,qx,aa
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0.00026755000000000003,0.0077999999999999996
21,0.00028169000000000002,0.0077999999999999996
22,0.00029657000000000002,0.0077999999999999996
23,0.00031223999999999998,0.0077999999999999996
24,0.00032874,0.0077999999999999996
25,0.00034653,0.0074999999999999997
26,0.00036484000000000001,0.0074999999999999997
27,0.00038412,0.0074999999999999997
28,0.00040441000000000001,0.0074999999999999997
29,0.00042578000000000001,0.0074999999999999997
30,0.00044828000000000001,0.0074999999999999997
31,0.00047272999999999998,0.0071000000000000004
32,0.00049770999999999995,0.0071000000000000004
33,0.00052400000000000005,0.0071000000000000004
34,0.00055168999999999997,0.0071000000000000004
35,0.00058177999999999995,0.0067000000000000002
36,0.00061251999999999997,0.0067000000000000002
37,0.00064488000000000002,0.0067000000000000002
38,0.00067896000000000005,0.0067000000000000002
39,0.00071482999999999996,0.0067000000000000002
40,0.00075230000000000002,0.0067999999999999996
41,0.00079204999999999998,0.0067999999999999996
42,0.00083390000000000005,0.0067999999999999996
43,0.00087797000000000005,0.0067999999999999996
44,0.00092436000000000005,0.0067999999999999996
45,0.00097280999999999995,0.0068999999999999999
46,0.00102421,0.0068999999999999999
47,0.0010654799999999999,0.0068999999999999999
48,0.00111119,0.0068999999999999999
49,0.0011822,0.0068999999999999999
50,0.00126994,0.0068999999999999999
51,0.0013780999999999999,0.0068999999999999999
52,0.00151359,0.0068999999999999999
53,0.00168294,0.0068999999999999999
54,0.00188185,0.0068999999999999999
55,0.0021041100000000002,0.0068999999999999999
56,0.0023308399999999998,0.0068999999999999999
57,0.00254367,0.0068999999999999999
58,0.0027367400000000001,0.0068999999999999999
59,0.0029250600000000002,0.0068999999999999999
60,0.0031372000000000001,0.0067999999999999996
61,0.0033990499999999998,0.0067999999999999996
62,0.0037016800000000002,0.0067999999999999996
63,0.0040439100000000004,0.0067999999999999996
64,0.0044278900000000003,0.0067999999999999996
65,0.0048504000000000004,0.0067999999999999996
66,0.0053011200000000003,0.0067999999999999996
67,0.0057843499999999997,0.0067999999999999996
68,0.0063145800000000002,0.0067999999999999996
69,0.00692042,0.0067999999999999996
70,0.0076478600000000002,0.0067000000000000002
71,0.0085316699999999999,0.0067000000000000002
72,0.0095947900000000006,0.0067000000000000002
73,0.010852509999999999,0.0067000000000000002
74,0.01231729,0.0067000000000000002
75,0.01402669,0.0063
76,0.01596877,0.0063
77,0.018212430000000002,0.0063
78,0.020815090000000001,0.0063
79,0.02383644,0.0063
80,0.027372759999999999,0.0058999999999999999
81,0.031438340000000002,0.0054999999999999997
82,0.036087040000000001,0.0051000000000000004
83,0.041380809999999997,0.0047000000000000002
84,0.047372200000000003,0.0044000000000000003
85,0.054148290000000002,0.0041000000000000003
86,0.061773950000000001,0.0038
87,0.070300619999999994,0.0035000000000000001
88,0.079733280000000004,0.0033
89,0.090117920000000004,0.0030999999999999999
90,0.10146552,0.0028999999999999998
91,0.11377697000000001,0.0027000000000000001
92,0.12704615999999999,0.0025000000000000001
93,0.14126377000000001,0.0023
94,0.15641944999999999,0.0020999999999999999
95,0.17243618999999999,0.002
96,0.18936586,0.0019
97,0.20728962000000001,0.0016999999999999999
98,0.22604878,0.0016000000000000001
99,0.24621288,0.001
100,0.26308756999999999,0
101,0.27710898,0
102,0.29615530000000001,0
103,0.31651070999999997,0
104,0.33826519999999999,0
105,0.36151492000000002,0
106,0.38636264999999997,0
107,0.41291822,0
108,0.44129900999999999,0
109,0.47163048000000002,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
