edad,qx,aa
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0.00048035999999999999,0.0166
21,0.00051121000000000001,0.0166
22,0.00054403000000000003,0.0166
23,0.00057897000000000005,0.0166
24,0.00061614999999999999,0.0166
25,0.00065998999999999995,0.014999999999999999
26,0.00070237000000000001,0.014999999999999999
27,0.00074746999999999997,0.014999999999999999
28,0.00079547000000000005,0.014999999999999999
29,0.00084654999999999995,0.014999999999999999
30,0.00090603999999999999,0.013599999999999999
31,0.00096422000000000001,0.013599999999999999
32,0.00102614,0.013599999999999999
33,0.0010920299999999999,0.013599999999999999
34,0.00116216,0.013599999999999999
35,0.00124533,0.011900000000000001
36,0.0013180799999999999,0.011900000000000001
37,0.00140891,0.011900000000000001
38,0.001506,0.011900000000000001
39,0.0016097799999999999,0.011900000000000001
40,0.00172839,0.010800000000000001
41,0.0018475,0.010800000000000001
42,0.00197481,0.010800000000000001
43,0.0021109000000000002,0.010800000000000001
44,0.0022563700000000002,0.010800000000000001
45,0.0024216200000000002,0.0097999999999999997
46,0.0025885000000000001,0.0097999999999999997
47,0.0027668800000000002,0.0097999999999999997
48,0.0029575500000000002,0.0097999999999999997
49,0.0031613700000000002,0.0097999999999999997
50,0.0033860499999999998,0.0092999999999999992
51,0.00357267,0.0092999999999999992
52,0.0036118000000000001,0.0092999999999999992
53,0.00387054,0.0092999999999999992
54,0.0042623399999999999,0.0092999999999999992
55,0.0047731600000000002,0.0094999999999999998
56,0.0053805099999999998,0.0094999999999999998
57,0.0060495699999999998,0.0094999999999999998
58,0.0067588700000000002,0.0094999999999999998
59,0.0074971200000000003,0.0094999999999999998
60,0.0082594000000000001,0.0092999999999999992
61,0.0090185200000000004,0.0092999999999999992
62,0.0097799700000000007,0.0092999999999999992
63,0.01056021,0.0092999999999999992
64,0.01140829,0.0092999999999999992
65,0.01244116,0.0088000000000000005
66,0.0136203,0.0088000000000000005
67,0.01497076,0.0088000000000000005
68,0.016481030000000001,0.0088000000000000005
69,0.018141540000000001,0.0088000000000000005
70,0.01997674,0.0088999999999999999
71,0.02200595,0.0088999999999999999
72,0.024245349999999999,0.0088999999999999999
73,0.026690749999999999,0.0088999999999999999
74,0.029376659999999999,0.0088999999999999999
75,0.032370070000000001,0.0083999999999999995
76,0.035591110000000002,0.0083999999999999995
77,0.039136070000000002,0.0083999999999999995
78,0.043103820000000001,0.0083999999999999995
79,0.047556929999999997,0.0083999999999999995
80,0.05262824,0.0083999999999999995
81,0.058745690000000003,0.0067000000000000002
82,0.065661849999999994,0.0053
83,0.073197230000000002,0.0043
84,0.081631880000000004,0.0033999999999999998
85,0.090812400000000001,0.0027000000000000001
86,0.10071072,0.0022000000000000001
87,0.11136537000000001,0.0016999999999999999
88,0.12271368000000001,0.0014
89,0.13465616999999999,0.0011000000000000001
90,0.14709934999999999,0.00089999999999999998
91,0.16020963999999999,0.00069999999999999999
92,0.17370677000000001,0.00050000000000000001
93,0.18751783,0.00040000000000000002
94,0.20220529000000001,0.00029999999999999997
95,0.21742494000000001,0.00029999999999999997
96,0.23322414,0.00020000000000000001
97,0.2493214,0.00020000000000000001
98,0.26590076000000001,0.00020000000000000001
99,0.28369610000000001,0.0001
100,0.30268235999999998,0
101,0.32281011999999998,0
102,0.34427634000000001,0
103,0.36717001999999999,0
104,0.39158607000000001,0
105,0.41762575000000002,0
106,0.44539700999999998,0
107,0.47501501000000002,0
108,0.50660254000000005,0
109,0.54029057999999996,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
