edad,qx,aa
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0.000277509,0.0077999999999999996
21,0.000290737,0.0077999999999999996
22,0.00030459699999999998,0.0077999999999999996
23,0.00031911599999999999,0.0077999999999999996
24,0.00033432900000000002,0.0077999999999999996
25,0.00035069000000000002,0.0074999999999999997
26,0.00036740699999999999,0.0074999999999999997
27,0.00038492099999999998,0.0074999999999999997
28,0.00040327000000000001,0.0074999999999999997
29,0.00042249300000000002,0.0074999999999999997
30,0.00044343699999999998,0.0070499999999999998
31,0.000464575,0.0070499999999999998
32,0.00048672100000000002,0.0070499999999999998
33,0.000509922,0.0070499999999999998
34,0.00053423000000000001,0.0070499999999999998
35,0.00056048600000000001,0.0067000000000000002
36,0.00058720400000000002,0.0067000000000000002
37,0.00061519600000000004,0.0067000000000000002
38,0.00064452200000000002,0.0067000000000000002
39,0.00067524600000000001,0.0067000000000000002
40,0.00070714900000000002,0.0067999999999999996
41,0.00074085899999999996,0.0067999999999999996
42,0.00077617500000000004,0.0067999999999999996
43,0.00081317499999999997,0.0067999999999999996
44,0.000851938,0.0067999999999999996
45,0.00089218999999999995,0.0068999999999999999
46,0.00093472,0.0068999999999999999
47,0.00096820999999999995,0.0068999999999999999
48,0.001002838,0.0068999999999999999
49,0.0010707309999999999,0.0068999999999999999
50,0.001171306,0.0068999999999999999
51,0.001304272,0.0068999999999999999
52,0.0014705040000000001,0.0068999999999999999
53,0.0016708770000000001,0.0068999999999999999
54,0.0019076290000000001,0.0068999999999999999
55,0.002183482,0.0068999999999999999
56,0.0025009659999999999,0.0068999999999999999
57,0.0028608589999999999,0.0068999999999999999
58,0.0032610220000000001,0.0068999999999999999
59,0.0036971730000000002,0.0068999999999999999
60,0.0041630740000000001,0.0067499999999999999
61,0.0046400749999999996,0.0067499999999999999
62,0.005114253,0.0067499999999999999
63,0.0055724700000000004,0.0067499999999999999
64,0.006006646,0.0067499999999999999
65,0.006413279,0.0067499999999999999
66,0.0067960670000000003,0.0067499999999999999
67,0.0071662030000000003,0.0067499999999999999
68,0.0075430540000000004,0.0067499999999999999
69,0.0079529960000000004,0.0067499999999999999
70,0.0084320290000000006,0.0066499999999999997
71,0.0090109700000000001,0.0066499999999999997
72,0.0097333309999999996,0.0066499999999999997
73,0.010640105,0.0066499999999999997
74,0.011772573,0.0066499999999999997
75,0.013192058,0.0063
76,0.014907732999999999,0.0063
77,0.016981052,0.0063
78,0.019456670999999998,0.0063
79,0.022378077,0.0063
80,0.025831041999999999,0.0058999999999999999
81,0.029816982999999998,0.0054999999999999997
82,0.034369371000000003,0.0051000000000000004
83,0.039516621000000002,0.0047000000000000002
84,0.045282245999999998,0.0044000000000000003
85,0.051686120000000002,0.0041000000000000003
86,0.058744062999999999,0.0038
87,0.066468721999999994,0.0035000000000000001
88,0.074869867000000007,0.0033
89,0.083954878999999996,0.0030999999999999999
90,0.093729256999999996,0.0028999999999999998
91,0.104196618,0.0027000000000000001
92,0.115359697,0.0025000000000000001
93,0.12722016,0.0023
94,0.13977890800000001,0.0020999999999999999
95,0.153036385,0.002
96,0.16699288400000001,0.0019
97,0.181648158,0.0016999999999999999
98,0.197332652,0.0016000000000000001
99,0.212662879,0.001
100,0.23000071799999999,0
101,0.24825418799999999,0
102,0.26742079200000002,0
103,0.28806716399999999,0
104,0.31030754999999999,0
105,0.334265019,0
106,0.36007213700000001,0
107,0.38787170799999998,0
108,0.41781755999999998,0
109,0.45007539899999999,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
