edad,qx,aa
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0.00031589982657000002,0
21,0.00033069389169800001,0
22,0.00034694538686099997,0
23,0.00036479786274799998,0
24,0.00038440900353300001,0
25,0.000405952017243,0
26,0.00042961716265599997,0
27,0.000455613426091,0
28,0.00048417036274500002,0
29,0.00051554011864399999,0
30,0.000549999650858,0
31,0.000587853165278,0
32,0.00062943479318700003,0
33,0.00067511152982899995,0
34,0.00072528646045299996,0
35,0.00078040230173300005,0
36,0.00084094528910100004,0
37,0.00090744944348199999,0
38,0.00098050125404399997,0
39,0.001060744817051,0
40,0.0011488874746809999,0
41,0.001245706001729,0
42,0.0013520533926179999,0
43,0.00146886630593,0
44,0.001597173228942,0
45,0.0017381034303269999,0
46,0.001892896775309,0
47,0.0020629144842170002,0
48,0.0022496509224879998,0
49,0.0024547465178909999,0
50,0.00268000190892,0
51,0.002927393437135,0
52,0.003199090105562,0
53,0.0034974721352040001,0
54,0.0038251512621670001,0
55,0.0041849929289259997,0
56,0.0045801405346639996,0
57,0.0050140419214920002,0
58,0.0054904782854409999,0
59,0.0060135957133560002,0
60,0.0065879395589750001,0
61,0.0072184918832909999,0
62,0.0079107121954190007,0
63,0.0086705817402390004,0
64,0.009504651587471,0
65,0.010420094782934999,0
66,0.011424762825673999,0
67,0.012527246733438999,0
68,0.013736942952407001,0
69,0.015064124353439999,0
70,0.016520039103357,0
71,0.018231574216734998,0
72,0.020132733759992,0
73,0.022244088196459001,0
74,0.024588335272489999,0
75,0.027190495025264001,0
76,0.030078116500133999,0
77,0.033281495207642002,0
78,0.036833899754464001,0
79,0.040771805325184998,0
80,0.045135130739854999,0
81,0.049967474628143001,0
82,0.055316344802392003,0
83,0.061233373133095001,0
84,0.067774506082382002,0
85,0.075000158484925999,0
86,0.082975315134809005,0
87,0.091769561203284,0
88,0.101457018453759,0
89,0.112116159641131,0
90,0.123829468428815,0
91,0.136682906735619,0
92,0.150765145829933,0
93,0.16616651203357899,0
94,0.18297759305272801,0
95,0.20128744739280699,0
96,0.22118135796472599,0
97,0.24273807307979101,0
98,0.26602648513111399,0
99,0.29110171130311202,0
100,0.31800056390972498,0
101,0.346736432955768,0
102,0.377293652812348,0
103,0.40962149076132398,0
104,0.44362797900305601,0
105,0.47917391328416198,0
106,0.51606745760390804,0
107,0.554059918468227,0
108,0.59284337136407395,0
109,0.63205091722906104,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
