edad,qx,aa
0,0.00832329,0.0406
1,0.00294823,0.0406
2,0.0030975,0.0406
3,0.0032492,0.0406
4,0.00347967,0.0406
5,0.00376202,0.0358
6,0.00399717,0.0358
7,0.00423464,0.0358
8,0.00447414,0.0358
9,0.00471538,0.0358
10,0.00510743,0.0287
11,0.00536517,0.0287
12,0.00563263,0.0287
13,0.00591156,0.0287
14,0.00619832,0.0287
15,0.00674481,0.0193
16,0.00704583,0.0193
17,0.00733696,0.0193
18,0.00761332,0.0193
19,0.00787884,0.0193
20,0.00806635,0.0216
21,0.00833067,0.0216
22,0.00859543,0.0216
23,0.0088619,0.0216
24,0.00913032,0.0216
25,0.00924991,0.0255
26,0.0095155,0.0255
27,0.00978593,0.0255
28,0.01006262,0.0255
29,0.01034451,0.0255
30,0.01040137,0.0308
31,0.01068318,0.0308
32,0.01096474,0.0308
33,0.01124479,0.0308
34,0.01152519,0.0308
35,0.01184339,0.0301
36,0.01213453,0.0301
37,0.01243215,0.0301
38,0.01273745,0.0301
39,0.01305053,0.0301
40,0.01350456,0.0277
41,0.01383642,0.0277
42,0.01417517,0.0277
43,0.01452073,0.0277
44,0.01487475,0.0277
45,0.01538258,0.0241
46,0.01577244,0.0241
47,0.01626651,0.0241
48,0.01679242,0.0241
49,0.01729057,0.0241
50,0.01763862,0.0256
51,0.01804786,0.0256
52,0.01841851,0.0256
53,0.01876351,0.0256
54,0.0190955,0.0256
55,0.01946794,0.025
56,0.01978106,0.025
57,0.02006816,0.025
58,0.02031243,0.025
59,0.02050219,0.025
60,0.02099586,0.0208
61,0.02109522,0.0208
62,0.02118661,0.0208
63,0.02130934,0.0208
64,0.02150283,0.0208
65,0.02179068,0.0209
66,0.02221268,0.0209
67,0.02277181,0.0209
68,0.02347243,0.0209
69,0.02431558,0.0209
70,0.02517939,0.0221
71,0.02631254,0.0221
72,0.02760985,0.0221
73,0.02909375,0.0221
74,0.03079622,0.0221
75,0.03301405,0.0202
76,0.03530376,0.0202
77,0.03796079,0.0202
78,0.04104308,0.0202
79,0.04460812,0.0202
80,0.04953078,0.0161
81,0.05429832,0.0161
82,0.05970513,0.0161
83,0.06578625,0.0161
84,0.07256815,0.0161
85,0.0813784,0.0121
86,0.08973961,0.0121
87,0.09883649,0.0121
88,0.10865413,0.0121
89,0.11916386,0.0121
90,0.13244529,0.0081
91,0.14438249,0.0081
92,0.15683904,0.0081
93,0.16972074,0.0081
94,0.18291929,0.0081
95,0.1995809,0.004
96,0.21440869,0.004
97,0.23165041,0.004
98,0.25230416,0.004
99,0.2714886,0.004
100,0.29626243,0.0
101,0.31749461,0.0
102,0.33951433,0.0
103,0.36225064,0.0
104,0.38562059,0.0
105,0.40953006,0.0
106,0.43387507,0.0
107,0.45854343,0.0
108,0.48341669,0.0
109,0.5083724,0.0
110,1.0,0.0
